"","Artist","Track","count","Track_no_brackets","artist_first_word","artist_last_word","artist_lower","artist_no_featuring_lower","track_lower","track_lower_no_brackets","track_lower_no_schar","track_lower_no_brackets_schar_ws","artist_mbid","artist_mbid_musibrainz"
"36","Irv Gotti Presents The Inc. Featuring Ja Rule, Ashanti, Charli Baltimore & Vita","Down 4 U",20,"Down 4 U","Irv","Vita","irv gotti presents the inc. featuring ja rule, ashanti, charli baltimore & vita","irv gotti presents the inc.","down 4 u","down 4 u","down 4 u","down4u",NA,NA
"37","Jesse Powell","You",20,"You","Jesse","Powell","jesse powell","jesse powell","you","you","you","you",NA,NA
"38","Jordan Knight","Give It To You",20,"Give It To You","Jordan","Knight","jordan knight","jordan knight","give it to you","give it to you","give it to you","giveittoyou",NA,NA
"39","Leslie Carter","Like, Wow!",1,"Like, Wow!","Leslie","Carter","leslie carter","leslie carter","like, wow!","like, wow!","like  wow ","likewow",NA,NA
"40","Linkin Park","Breaking The Habit",20,"Breaking The Habit","Linkin","Park","linkin park","linkin park","breaking the habit","breaking the habit","breaking the habit","breakingthehabit",NA,NA
"41","Linkin Park","Crawling",20,"Crawling","Linkin","Park","linkin park","linkin park","crawling","crawling","crawling","crawling",NA,NA
"42","Linkin Park","Faint",20,"Faint","Linkin","Park","linkin park","linkin park","faint","faint","faint","faint",NA,NA
"43","Linkin Park","In The End",38,"In The End","Linkin","Park","linkin park","linkin park","in the end","in the end","in the end","intheend",NA,NA
"44","Linkin Park","Lying From You",18,"Lying From You","Linkin","Park","linkin park","linkin park","lying from you","lying from you","lying from you","lyingfromyou",NA,NA
"45","Linkin Park","Numb",32,"Numb","Linkin","Park","linkin park","linkin park","numb","numb","numb","numb",NA,NA
"46","Linkin Park","One Step Closer",17,"One Step Closer","Linkin","Park","linkin park","linkin park","one step closer","one step closer","one step closer","onestepcloser",NA,NA
"47","Linkin Park","Somewhere I Belong",20,"Somewhere I Belong","Linkin","Park","linkin park","linkin park","somewhere i belong","somewhere i belong","somewhere i belong","somewhereibelong",NA,NA
"48","M.V.P. (Most Valuable Playas) Featuring Stagga Lee","Roc Ya Body ""Mic Check 1,2""",8,"Roc Ya Body ""Mic Check 1,2""","M","Lee","m.v.p. (most valuable playas) featuring stagga lee","m.v.p. (most valuable playas)","roc ya body ""mic check 1,2""","roc ya body ""mic check 1,2""","roc ya body  mic check 1 2 ","rocyabodymiccheck12",NA,NA
"49","Marc Anthony","I've Got You",14,"I've Got You","Marc","Anthony","marc anthony","marc anthony","i've got you","i've got you","i ve got you","ivegotyou",NA,NA
"50","Marc Anthony","I Need To Know",40,"I Need To Know","Marc","Anthony","marc anthony","marc anthony","i need to know","i need to know","i need to know","ineedtoknow",NA,NA
"51","Marc Anthony","My Baby You",20,"My Baby You","Marc","Anthony","marc anthony","marc anthony","my baby you","my baby you","my baby you","mybabyyou",NA,NA
"52","Marc Anthony","You Sang To Me",32,"You Sang To Me","Marc","Anthony","marc anthony","marc anthony","you sang to me","you sang to me","you sang to me","yousangtome",NA,NA
"53","Mary Mary","Shackles (Praise You)",20,"Shackles ","Mary","Mary","mary mary","mary mary","shackles (praise you)","shackles ","shackles ","shackles",NA,NA
"54","Mase","Welcome Back",12,"Welcome Back","Mase","Mase","mase","mase","welcome back","welcome back","welcome back","welcomeback",NA,NA
"55","Mase Featuring P. Diddy","Breathe, Stretch, Shake",16,"Breathe, Stretch, Shake","Mase","Diddy","mase featuring p. diddy","mase","breathe, stretch, shake","breathe, stretch, shake","breathe  stretch  shake","breathestretchshake",NA,NA
"56","Mint Condition","If You Love Me",20,"If You Love Me","Mint","Condition","mint condition","mint condition","if you love me","if you love me","if you love me","ifyouloveme",NA,NA
"57","Missy ""Misdemeanor"" Elliott","Get Ur Freak On",24,"Get Ur Freak On","Missy","Elliott","missy ""misdemeanor"" elliott","missy","get ur freak on","get ur freak on","get ur freak on","geturfreakon",NA,NA
"58","Missy ""Misdemeanor"" Elliott","One Minute Man",21,"One Minute Man","Missy","Elliott","missy ""misdemeanor"" elliott","missy","one minute man","one minute man","one minute man","oneminuteman",NA,NA
"59","Missy ""Misdemeanor"" Elliott","P***ycat",5,"P***ycat","Missy","Elliott","missy ""misdemeanor"" elliott","missy","p***ycat","p***ycat","p   ycat","pycat",NA,NA
"60","Missy ""Misdemeanor"" Elliott","She's A Bitch",6,"She's A Bitch","Missy","Elliott","missy ""misdemeanor"" elliott","missy","she's a bitch","she's a bitch","she s a bitch","shesabitch",NA,NA
"61","Missy ""Misdemeanor"" Elliott","Work It",25,"Work It","Missy","Elliott","missy ""misdemeanor"" elliott","missy","work it","work it","work it","workit",NA,NA
"62","Missy ""Misdemeanor"" Elliott Featuring Big Boi & Nicole","All N My Grill",14,"All N My Grill","Missy","Nicole","missy ""misdemeanor"" elliott featuring big boi & nicole","missy","all n my grill","all n my grill","all n my grill","allnmygrill",NA,NA
"63","Missy ""Misdemeanor"" Elliott Featuring Ginuwine & Tweet","Take Away",20,"Take Away","Missy","Tweet","missy ""misdemeanor"" elliott featuring ginuwine & tweet","missy","take away","take away","take away","takeaway",NA,NA
"64","Missy ""Misdemeanor"" Elliott Featuring Ludacris","Gossip Folks",20,"Gossip Folks","Missy","Ludacris","missy ""misdemeanor"" elliott featuring ludacris","missy","gossip folks","gossip folks","gossip folks","gossipfolks",NA,NA
"65","Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip","Hot Boyz",21,"Hot Boyz","Missy","Tip","missy ""misdemeanor"" elliott featuring nas, eve & q-tip","missy","hot boyz","hot boyz","hot boyz","hotboyz",NA,NA
"66","Next","Too Close",7,"Too Close","Next","Next","next","next","too close","too close","too close","tooclose",NA,NA
"67","Next","Wifey",21,"Wifey","Next","Next","next","next","wifey","wifey","wifey","wifey",NA,NA
"68","Nivea","Don't Mess With The Radio",3,"Don't Mess With The Radio","Nivea","Nivea","nivea","nivea","don't mess with the radio","don't mess with the radio","don t mess with the radio","dontmesswiththeradio",NA,NA
"69","Nivea","Laundromat",9,"Laundromat","Nivea","Nivea","nivea","nivea","laundromat","laundromat","laundromat","laundromat",NA,NA
"70","Nivea Featuring Brian & Brandon Casey","Don't Mess With My Man",36,"Don't Mess With My Man","Nivea","Casey","nivea featuring brian & brandon casey","nivea","don't mess with my man","don't mess with my man","don t mess with my man","dontmesswithmyman",NA,NA
"71","Nivea Featuring Lil Jon & YoungBloodZ","Okay",1,"Okay","Nivea","YoungBloodZ","nivea featuring lil jon & youngbloodz","nivea","okay","okay","okay","okay",NA,NA
"72","Reina","No One's Gonna Change You",5,"No One's Gonna Change You","Reina","Reina","reina","reina","no one's gonna change you","no one's gonna change you","no one s gonna change you","noonesgonnachangeyou",NA,NA
"73","Ricky Martin Duet With Christina Aguilera","Nobody Wants To Be Lonely",20,"Nobody Wants To Be Lonely","Ricky","Aguilera","ricky martin duet with christina aguilera","ricky martin duet","nobody wants to be lonely","nobody wants to be lonely","nobody wants to be lonely","nobodywantstobelonely",NA,NA
"74","Ryan Duarte","You",14,"You","Ryan","Duarte","ryan duarte","ryan duarte","you","you","you","you",NA,NA
"75","Tank","Maybe I Deserve",20,"Maybe I Deserve","Tank","Tank","tank","tank","maybe i deserve","maybe i deserve","maybe i deserve","maybeideserve",NA,NA
"76","Three The... G. Dep, P. Diddy & Black Rob","Let's Get It",9,"Let's Get It","Three","Rob","three the... g. dep, p. diddy & black rob","three the... g. dep","let's get it","let's get it","let s get it","letsgetit",NA,NA
"77","Toby Keith Duet With Willie Nelson","Beer For My Horses",20,"Beer For My Horses","Toby","Nelson","toby keith duet with willie nelson","toby keith duet","beer for my horses","beer for my horses","beer for my horses","beerformyhorses",NA,NA
"78","Trick Pony","On A Night Like This",20,"On A Night Like This","Trick","Pony","trick pony","trick pony","on a night like this","on a night like this","on a night like this","onanightlikethis",NA,NA
"79","Trick Pony","Pour Me",14,"Pour Me","Trick","Pony","trick pony","trick pony","pour me","pour me","pour me","pourme",NA,NA
"80","Tweet","Call Me",19,"Call Me","Tweet","Tweet","tweet","tweet","call me","call me","call me","callme",NA,NA
"81","Tweet","Oops (Oh My)",20,"Oops ","Tweet","Tweet","tweet","tweet","oops (oh my)","oops ","oops ","oops",NA,NA
"82","Usher And Alicia Keys","My Boo",16,"My Boo","Usher","Keys","usher and alicia keys","usher and alicia keys","my boo","my boo","my boo","myboo",NA,NA
"83","Vitamin C","Graduation (Friends Forever)",12,"Graduation ","Vitamin","C","vitamin c","vitamin c","graduation (friends forever)","graduation ","graduation ","graduation",NA,NA
"84","Vitamin C","The Itch",9,"The Itch","Vitamin","C","vitamin c","vitamin c","the itch","the itch","the itch","theitch",NA,NA
"85","Vitamin C Featuring Lady Saw","Smile",14,"Smile","Vitamin","Saw","vitamin c featuring lady saw","vitamin c","smile","smile","smile","smile",NA,NA
