"","Artist","Track","Artist_no_featuring","artist_no_featuring_lower.x","artist_no_featuring_lower.y","track_lower_no_brackets.x","track_lower_no_brackets.y","track_lower_no_brackets_schar_ws.x","track_lower_no_brackets_schar_ws.y","artist mbid.x","artist mbid.y"
"17","'N Sync","Bye Bye Bye","'N Sync","'n sync","'n sync","bye bye bye","bye, bye, bye ","byebyebye","byebyebye","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"18","'N Sync","Bye Bye Bye","'N Sync","'n sync","'n sync","bye bye bye","bye, bye, bye ","byebyebye","byebyebye","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"496","'N Sync","Gone","'N Sync","'n sync","'n sync","gone","gone","gone","gone","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"497","'N Sync","Gone","'N Sync","'n sync","'n sync","gone","gone ","gone","gone","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"498","'N Sync","Gone","'N Sync","'n sync","'n sync","gone","gone ","gone","gone","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"499","'N Sync","Gone","'N Sync","'n sync","'n sync","gone","gone ","gone","gone","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"500","'N Sync","Gone","'N Sync","'n sync","'n sync","gone","gone ","gone","gone","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"501","'N Sync","Gone","'N Sync","'n sync","'n sync","gone","gone ","gone","gone","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"502","'N Sync","Gone","'N Sync","'n sync","'n sync","gone","gone ","gone","gone","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1258","'N Sync","I Drive Myself Crazy","'N Sync","'n sync","'n sync","i drive myself crazy","i drive myself crazy","idrivemyselfcrazy","idrivemyselfcrazy","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1259","'N Sync","I Drive Myself Crazy","'N Sync","'n sync","'n sync","i drive myself crazy","i drive myself crazy ","idrivemyselfcrazy","idrivemyselfcrazy","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1260","'N Sync","It's Gonna Be Me","'N Sync","'n sync","'n sync","it's gonna be me","it's gonna be me","itsgonnabeme","itsgonnabeme","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1261","'N Sync","It's Gonna Be Me","'N Sync","'n sync","'n sync","it's gonna be me","it’s gonna be me","itsgonnabeme","itsgonnabeme","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1262","'N Sync","It's Gonna Be Me","'N Sync","'n sync","'n sync","it's gonna be me","it’s gonna be me ","itsgonnabeme","itsgonnabeme","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1263","'N Sync","It's Gonna Be Me","'N Sync","'n sync","'n sync","it's gonna be me","it’s gonna be me ","itsgonnabeme","itsgonnabeme","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1264","'N Sync","It's Gonna Be Me","'N Sync","'n sync","'n sync","it's gonna be me","it’s gonna be me ","itsgonnabeme","itsgonnabeme","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1265","'N Sync","It's Gonna Be Me","'N Sync","'n sync","'n sync","it's gonna be me","it’s gonna be me ","itsgonnabeme","itsgonnabeme","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1266","'N Sync","It's Gonna Be Me","'N Sync","'n sync","'n sync","it's gonna be me","it’s gonna be me ","itsgonnabeme","itsgonnabeme","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1267","'N Sync","It's Gonna Be Me","'N Sync","'n sync","'n sync","it's gonna be me","it’s gonna be me ","itsgonnabeme","itsgonnabeme","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1268","'N Sync","It's Gonna Be Me","'N Sync","'n sync","'n sync","it's gonna be me","it’s gonna be me ","itsgonnabeme","itsgonnabeme","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1269","'N Sync","It's Gonna Be Me","'N Sync","'n sync","'n sync","it's gonna be me","it’s gonna be me ","itsgonnabeme","itsgonnabeme","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1270","'N Sync","It's Gonna Be Me","'N Sync","'n sync","'n sync","it's gonna be me","it’s gonna be me ","itsgonnabeme","itsgonnabeme","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1271","'N Sync","It's Gonna Be Me","'N Sync","'n sync","'n sync","it's gonna be me","it’s gonna be me ","itsgonnabeme","itsgonnabeme","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1272","'N Sync","It's Gonna Be Me","'N Sync","'n sync","'n sync","it's gonna be me","it’s gonna be me ","itsgonnabeme","itsgonnabeme","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1273","'N Sync","It's Gonna Be Me","'N Sync","'n sync","'n sync","it's gonna be me","it’s gonna be me ","itsgonnabeme","itsgonnabeme","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1665","'N Sync","Pop","'N Sync","'n sync","'n sync","pop","pop","pop","pop","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1666","'N Sync","Pop","'N Sync","'n sync","'n sync","pop","pop ","pop","pop","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1667","'N Sync","Pop","'N Sync","'n sync","'n sync","pop","pop ","pop","pop","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1668","'N Sync","Pop","'N Sync","'n sync","'n sync","pop","pop ","pop","pop","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1669","'N Sync","Pop","'N Sync","'n sync","'n sync","pop","pop ","pop","pop","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1670","'N Sync","Pop","'N Sync","'n sync","'n sync","pop","pop ","pop","pop","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1671","'N Sync","Pop","'N Sync","'n sync","'n sync","pop","pop ","pop","pop","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1672","'N Sync","Pop","'N Sync","'n sync","'n sync","pop","pop ","pop","pop","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1673","'N Sync","Pop","'N Sync","'n sync","'n sync","pop","pop ","pop","pop","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1674","'N Sync","Pop","'N Sync","'n sync","'n sync","pop","pop ","pop","pop","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1675","'N Sync","Pop","'N Sync","'n sync","'n sync","pop","pop ","pop","pop","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"1676","'N Sync","Pop","'N Sync","'n sync","'n sync","pop","pop ","pop","pop","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"2463","'N Sync","This I Promise You","'N Sync","'n sync","'n sync","this i promise you","this i promise you","thisipromiseyou","thisipromiseyou","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"2464","'N Sync","This I Promise You","'N Sync","'n sync","'n sync","this i promise you","this i promise you ","thisipromiseyou","thisipromiseyou","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"2465","'N Sync","This I Promise You","'N Sync","'n sync","'n sync","this i promise you","this i promise you ","thisipromiseyou","thisipromiseyou","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"2466","'N Sync & Gloria Estefan","Music Of My Heart","'N Sync","'n sync","'n sync","music of my heart","music of my heart","musicofmyheart","musicofmyheart","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"2467","'N Sync & Gloria Estefan","Music Of My Heart","'N Sync","'n sync","'n sync","music of my heart","music of my heart ","musicofmyheart","musicofmyheart","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"2468","'N Sync & Gloria Estefan","Music Of My Heart","'N Sync","'n sync","'n sync","music of my heart","music of my heart ","musicofmyheart","musicofmyheart","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"2469","'N Sync & Gloria Estefan","Music Of My Heart","'N Sync","'n sync","'n sync","music of my heart","music of my heart ","musicofmyheart","musicofmyheart","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"2470","'N Sync & Gloria Estefan","Music Of My Heart","'N Sync","'n sync","'n sync","music of my heart","music of my heart ","musicofmyheart","musicofmyheart","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"2471","'N Sync & Gloria Estefan","Music Of My Heart","'N Sync","'n sync","'n sync","music of my heart","music of my heart ","musicofmyheart","musicofmyheart","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"2472","'N Sync & Gloria Estefan","Music Of My Heart","'N Sync","'n sync","'n sync","music of my heart","music of my heart ","musicofmyheart","musicofmyheart","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"2512","'N Sync Featuring Nelly","Girlfriend","'N Sync","'n sync","'n sync","girlfriend","girlfriend","girlfriend","girlfriend","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"2513","'N Sync Featuring Nelly","Girlfriend","'N Sync","'n sync","'n sync","girlfriend","girlfriend ","girlfriend","girlfriend","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"2514","'N Sync Featuring Nelly","Girlfriend","'N Sync","'n sync","'n sync","girlfriend","girlfriend ","girlfriend","girlfriend","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"2515","'N Sync Featuring Nelly","Girlfriend","'N Sync","'n sync","'n sync","girlfriend","girlfriend ","girlfriend","girlfriend","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"2516","'N Sync Featuring Nelly","Girlfriend","'N Sync","'n sync","'n sync","girlfriend","girlfriend ","girlfriend","girlfriend","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"2517","'N Sync Featuring Nelly","Girlfriend","'N Sync","'n sync","'n sync","girlfriend","girlfriend ","girlfriend","girlfriend","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"2518","'N Sync Featuring Nelly","Girlfriend","'N Sync","'n sync","'n sync","girlfriend","girlfriend ","girlfriend","girlfriend","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"2519","'N Sync Featuring Nelly","Girlfriend","'N Sync","'n sync","'n sync","girlfriend","girlfriend ","girlfriend","girlfriend","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"2520","'N Sync Featuring Nelly","Girlfriend","'N Sync","'n sync","'n sync","girlfriend","girlfriend ","girlfriend","girlfriend","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"2521","'N Sync Featuring Nelly","Girlfriend","'N Sync","'n sync","'n sync","girlfriend","girlfriend ","girlfriend","girlfriend","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"2522","'N Sync Featuring Nelly","Girlfriend","'N Sync","'n sync","'n sync","girlfriend","girlfriend ","girlfriend","girlfriend","603ba565-3967-4be1-931e-9cb945394e86","603ba565-3967-4be1-931e-9cb945394e86"
"3084","2Pac","Changes","2Pac","2pac","2pac","changes","changes","changes","changes","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3085","2Pac","Changes","Tupac","2pac","tupac","changes","changes","changes","changes","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3086","2Pac","Changes","2Pac","2pac","2pac","changes","changes ","changes","changes","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3087","2Pac","Changes","Tupac","2pac","tupac","changes","changes ","changes","changes","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3088","2Pac","Changes","2Pac","2pac","2pac","changes","changes ","changes","changes","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3089","2Pac","Changes","Tupac","2pac","tupac","changes","changes ","changes","changes","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3090","2Pac","Changes","2Pac","2pac","2pac","changes","changes ","changes","changes","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3091","2Pac","Changes","Tupac","2pac","tupac","changes","changes ","changes","changes","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3092","2Pac","Changes","2Pac","2pac","2pac","changes","changes ","changes","changes","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3093","2Pac","Changes","Tupac","2pac","tupac","changes","changes ","changes","changes","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3094","2Pac","Changes","2Pac","2pac","2pac","changes","changes ","changes","changes","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3095","2Pac","Changes","Tupac","2pac","tupac","changes","changes ","changes","changes","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3096","2Pac","Changes","2Pac","2pac","2pac","changes","changes ","changes","changes","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3097","2Pac","Changes","Tupac","2pac","tupac","changes","changes ","changes","changes","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3145","2Pac","Thugz Mansion","2Pac","2pac","2pac","thugz mansion","thug mansion","thugzmansion","thugmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3146","2Pac","Thugz Mansion","Tupac","2pac","tupac","thugz mansion","thug mansion","thugzmansion","thugmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3147","2Pac","Thugz Mansion","2Pac","2pac","2pac","thugz mansion","thug mansion ","thugzmansion","thugmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3148","2Pac","Thugz Mansion","Tupac","2pac","tupac","thugz mansion","thug mansion ","thugzmansion","thugmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3149","2Pac","Thugz Mansion","2Pac","2pac","2pac","thugz mansion","thug mansions","thugzmansion","thugmansions","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3150","2Pac","Thugz Mansion","Tupac","2pac","tupac","thugz mansion","thug mansions","thugzmansion","thugmansions","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3151","2Pac","Thugz Mansion","2Pac","2pac","2pac","thugz mansion","thugs mansion ","thugzmansion","thugsmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3152","2Pac","Thugz Mansion","Tupac","2pac","tupac","thugz mansion","thugs mansion ","thugzmansion","thugsmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3153","2Pac","Thugz Mansion","2Pac","2pac","2pac","thugz mansion","thugz mansion","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3154","2Pac","Thugz Mansion","Tupac","2pac","tupac","thugz mansion","thugz mansion","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3155","2Pac","Thugz Mansion","2Pac","2pac","2pac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3156","2Pac","Thugz Mansion","Tupac","2pac","tupac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3157","2Pac","Thugz Mansion","2Pac","2pac","2pac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3158","2Pac","Thugz Mansion","Tupac","2pac","tupac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3159","2Pac","Thugz Mansion","2Pac","2pac","2pac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3160","2Pac","Thugz Mansion","Tupac","2pac","tupac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3161","2Pac","Thugz Mansion","2Pac","2pac","2pac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3162","2Pac","Thugz Mansion","Tupac","2pac","tupac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3163","2Pac","Thugz Mansion","2Pac","2pac","2pac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3164","2Pac","Thugz Mansion","Tupac","2pac","tupac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3165","2Pac","Thugz Mansion","2Pac","2pac","2pac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3166","2Pac","Thugz Mansion","Tupac","2pac","tupac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3167","2Pac","Thugz Mansion","2Pac","2pac","2pac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3168","2Pac","Thugz Mansion","Tupac","2pac","tupac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3169","2Pac","Thugz Mansion","2Pac","2pac","2pac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3170","2Pac","Thugz Mansion","Tupac","2pac","tupac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3171","2Pac","Thugz Mansion","2Pac","2pac","2pac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3172","2Pac","Thugz Mansion","Tupac","2pac","tupac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3173","2Pac","Thugz Mansion","2Pac","2pac","2pac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3174","2Pac","Thugz Mansion","Tupac","2pac","tupac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3175","2Pac","Thugz Mansion","2Pac","2pac","2pac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3176","2Pac","Thugz Mansion","Tupac","2pac","tupac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3177","2Pac","Thugz Mansion","2Pac","2pac","2pac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3178","2Pac","Thugz Mansion","Tupac","2pac","tupac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3179","2Pac","Thugz Mansion","2Pac","2pac","2pac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3180","2Pac","Thugz Mansion","Tupac","2pac","tupac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
"3181","2Pac","Thugz Mansion","2Pac","2pac","2pac","thugz mansion","thugz mansion ","thugzmansion","thugzmansion","382f1005-e9ab-4684-afd4-0bdae4ee37f2","382f1005-e9ab-4684-afd4-0bdae4ee37f2"
