"","Artist","Track","count","Track_no_brackets","artist_first_word","artist_last_word","artist_lower","artist_no_featuring_lower","artist_no_featuring_lower_no_spec","track_lower","track_lower_no_brackets","track_lower_no_schar","track_lower_no_brackets_schar_ws","artist mbid"
"30","Good Charlotte","Lifestyles Of The Rich And Famous",20,"Lifestyles Of The Rich And Famous","Good","Charlotte","good charlotte","good charlotte","good charlotte","lifestyles of the rich and famous","lifestyles of the rich and famous","lifestyles of the rich and famous","lifestylesoftherichandfamous",NA
"31","Good Charlotte","The Anthem",11,"The Anthem","Good","Charlotte","good charlotte","good charlotte","good charlotte","the anthem","the anthem","the anthem","theanthem",NA
"32","Guy","Dancin'",11,"Dancin'","Guy","Guy","guy","guy","guy","dancin'","dancin'","dancin ","dancin","4336a134-d091-4e54-9967-c7c433db6d4e"
"33","Jade Anderson","Sugarhigh",2,"Sugarhigh","Jade","Anderson","jade anderson","jade anderson","jade anderson","sugarhigh","sugarhigh","sugarhigh","sugarhigh","c7f31e82-eaab-4c54-84b6-a2f57f311f3a"
"34","Jeff Bates","The Love Song",12,"The Love Song","Jeff","Bates","jeff bates","jeff bates","jeff bates","the love song","the love song","the love song","thelovesong","6a0779fa-308c-4563-97fd-1db3e3d5bcc4"
"35","Jennifer Hanson","Beautiful Goodbye",10,"Beautiful Goodbye","Jennifer","Hanson","jennifer hanson","jennifer hanson","jennifer hanson","beautiful goodbye","beautiful goodbye","beautiful goodbye","beautifulgoodbye","d60bd9ce-fe68-4ec0-b541-c17681841571"
"36","Jessica Andrews","Who I Am",20,"Who I Am","Jessica","Andrews","jessica andrews","jessica andrews","jessica andrews","who i am","who i am","who i am","whoiam","948a3efe-8928-485d-ad08-45e3df65247f"
"37","Jonell & Method Man","Round And Round",17,"Round And Round","Jonell","Man","jonell & method man","jonell","jonell","round and round","round and round","round and round","roundandround","03bc21da-c2d1-4830-a8fb-75d8a428a131"
"38","Leslie Carter","Like, Wow!",1,"Like, Wow!","Leslie","Carter","leslie carter","leslie carter","leslie carter","like, wow!","like, wow!","like  wow ","likewow","d8b5e5ff-3bbc-4a1b-a52c-bf6af0c6a7da"
"39","LFO","Every Other Time",18,"Every Other Time","LFO","LFO","lfo","lfo","lfo","every other time","every other time","every other time","everyothertime","e6d0179f-b899-4563-b6c6-88715aaae0b8"
"40","LFO","Girl On TV",17,"Girl On TV","LFO","LFO","lfo","lfo","lfo","girl on tv","girl on tv","girl on tv","girlontv","e6d0179f-b899-4563-b6c6-88715aaae0b8"
"41","LFO","I Don't Wanna Kiss You Goodnight",5,"I Don't Wanna Kiss You Goodnight","LFO","LFO","lfo","lfo","lfo","i don't wanna kiss you goodnight","i don't wanna kiss you goodnight","i don t wanna kiss you goodnight","idontwannakissyougoodnight","e6d0179f-b899-4563-b6c6-88715aaae0b8"
"42","LFO","Summer Girls",17,"Summer Girls","LFO","LFO","lfo","lfo","lfo","summer girls","summer girls","summer girls","summergirls","e6d0179f-b899-4563-b6c6-88715aaae0b8"
"43","LFO","West Side Story",4,"West Side Story","LFO","LFO","lfo","lfo","lfo","west side story","west side story","west side story","westsidestory","e6d0179f-b899-4563-b6c6-88715aaae0b8"
"44","M.V.P. (Most Valuable Playas) Featuring Stagga Lee","Roc Ya Body ""Mic Check 1,2""",8,"Roc Ya Body ""Mic Check 1,2""","M","Lee","m.v.p. (most valuable playas) featuring stagga lee","m.v.p. (most valuable playas)","mvp most valuable playas","roc ya body ""mic check 1,2""","roc ya body ""mic check 1,2""","roc ya body  mic check 1 2 ","rocyabodymiccheck12",NA
"45","Marc Nelson","15 Minutes",16,"15 Minutes","Marc","Nelson","marc nelson","marc nelson","marc nelson","15 minutes","15 minutes","15 minutes","15minutes",NA
"46","Mercedes Featuring Master P","It's Your Thing",4,"It's Your Thing","Mercedes","P","mercedes featuring master p","mercedes","mercedes","it's your thing","it's your thing","it s your thing","itsyourthing","a5bd836d-8d8f-48a5-b0b7-dbb18b3264dd"
"47","Method Man Featuring D'Angelo","Break Ups 2 Make Ups",2,"Break Ups 2 Make Ups","Method","Angelo","method man featuring d'angelo","method man","method man","break ups 2 make ups","break ups 2 make ups","break ups 2 make ups","breakups2makeups","c03e2388-9e1b-4b78-8194-28c0d6ca19a0"
"48","Next","Too Close",7,"Too Close","Next","Next","next","next","next","too close","too close","too close","tooclose",NA
"49","Next","Wifey",21,"Wifey","Next","Next","next","next","next","wifey","wifey","wifey","wifey",NA
"50","Nu Flavor","3 Little Words",9,"3 Little Words","Nu","Flavor","nu flavor","nu flavor","nu flavor","3 little words","3 little words","3 little words","3littlewords","c264723e-b2ce-4862-b646-4d2b1271174c"
"51","Olivia","Bizounce",14,"Bizounce","Olivia","Olivia","olivia","olivia","olivia","bizounce","bizounce","bizounce","bizounce","44353ce7-1d1b-43c8-868d-83213531f688"
"52","Pat Green","Wave On Wave",20,"Wave On Wave","Pat","Green","pat green","pat green","pat green","wave on wave","wave on wave","wave on wave","waveonwave","fb7272ba-f130-4f0a-934d-6eeea4c18c9a"
"53","Santana Featuring Alex Band Or Chad Kroeger","Why Don't You & I",35,"Why Don't You & I","Santana","Kroeger","santana featuring alex band or chad kroeger","santana","santana","why don't you & i","why don't you & i","why don t you   i","whydontyoui",NA
"54","Santana Featuring Michelle Branch","The Game Of Love",37,"The Game Of Love","Santana","Branch","santana featuring michelle branch","santana","santana","the game of love","the game of love","the game of love","thegameoflove",NA
"55","Santana Featuring Rob Thomas","Smooth",58,"Smooth","Santana","Thomas","santana featuring rob thomas","santana","santana","smooth","smooth","smooth","smooth",NA
"56","Santana Featuring The Product G&B","Maria Maria",26,"Maria Maria","Santana","B","santana featuring the product g&b","santana","santana","maria maria","maria maria","maria maria","mariamaria",NA
"57","Soluna","For All Time",11,"For All Time","Soluna","Soluna","soluna","soluna","soluna","for all time","for all time","for all time","foralltime",NA
"58","Steve Holy","Good Morning Beautiful",20,"Good Morning Beautiful","Steve","Holy","steve holy","steve holy","steve holy","good morning beautiful","good morning beautiful","good morning beautiful","goodmorningbeautiful","e0bbec7a-7a81-466f-ba0f-08240dd4980e"
"59","Sting Featuring Cheb Mami","Desert Rose",26,"Desert Rose","Sting","Mami","sting featuring cheb mami","sting","sting","desert rose","desert rose","desert rose","desertrose",NA
"60","Styles","Good Times",20,"Good Times","Styles","Styles","styles","styles","styles","good times","good times","good times","goodtimes","48f77c81-7f31-40b3-8619-92b7b8b5f732"
"61","Sunday","I Know",2,"I Know","Sunday","Sunday","sunday","sunday","sunday","i know","i know","i know","iknow",NA
"62","Tank","Maybe I Deserve",20,"Maybe I Deserve","Tank","Tank","tank","tank","tank","maybe i deserve","maybe i deserve","maybe i deserve","maybeideserve","9e4d93b6-0b22-4914-a3e4-efe8b8cd0378"
"63","The Clark Family Experience","Meanwhile Back At The Ranch",12,"Meanwhile Back At The Ranch","The","Experience","the clark family experience","the clark family experience","the clark family experience","meanwhile back at the ranch","meanwhile back at the ranch","meanwhile back at the ranch","meanwhilebackattheranch","5d0c202c-e30f-40c4-abf5-c0007af0d1cc"
"64","The Corrs","Breathless",20,"Breathless","The","Corrs","the corrs","the corrs","the corrs","breathless","breathless","breathless","breathless","9efff43b-3b29-4082-824e-bc82f646f93d"
"65","Tim McGraw","For A Little While",11,"For A Little While","Tim","McGraw","tim mcgraw","tim mcgraw","tim mcgraw","for a little while","for a little while","for a little while","foralittlewhile","7e5cfc9a-e9e1-46f1-b81a-861b12049488"
"66","Tool","Schism",20,"Schism","Tool","Tool","tool","tool","tool","schism","schism","schism","schism","bbfa1e12-8b61-4ed8-bc6e-52d2298f41a2"
"67","Trina & Tamara","What'd You Come Here For?",12,"What'd You Come Here For?","Trina","Tamara","trina & tamara","trina","trina","what'd you come here for?","what'd you come here for?","what d you come here for ","whatdyoucomeherefor","8a07d810-3d55-4426-a1f6-55f0a68f1dc6"
"68","Vitamin C","Graduation (Friends Forever)",12,"Graduation ","Vitamin","C","vitamin c","vitamin c","vitamin c","graduation (friends forever)","graduation ","graduation ","graduation","be23dca9-50e8-455d-9029-1372b299aff0"
"69","Vitamin C","Graduation (Friends Forever)",12,"Graduation ","Vitamin","C","vitamin c","vitamin c","vitamin c","graduation (friends forever)","graduation ","graduation ","graduation","dd18c096-1282-41f6-baa3-2d4b37d86bb3"
"70","Vitamin C","The Itch",9,"The Itch","Vitamin","C","vitamin c","vitamin c","vitamin c","the itch","the itch","the itch","theitch","be23dca9-50e8-455d-9029-1372b299aff0"
"71","Vitamin C","The Itch",9,"The Itch","Vitamin","C","vitamin c","vitamin c","vitamin c","the itch","the itch","the itch","theitch","dd18c096-1282-41f6-baa3-2d4b37d86bb3"
"72","Whitney Houston","The Star Spangled Banner",16,"The Star Spangled Banner","Whitney","Houston","whitney houston","whitney houston","whitney houston","the star spangled banner","the star spangled banner","the star spangled banner","thestarspangledbanner","0307edfc-437c-4b48-8700-80680e66a228"
