"recording.title","recording.artist.credit.phrase","number"
"Happy People","R. Kelly",21
"He Wasn’t Man Enough","Toni Braxton",21
"Heaven","Los Lonely Boys",21
"Lady","Modjo",21
"Maps","Yeah Yeah Yeahs",21
"She Hates Me","Puddle of Mudd",21
"Sympathy for the Devil","The Rolling Stones",21
"What About Us?","Brandy",21
"Your Body Is a Wonderland","John Mayer",21
"Aerials","System of a Down",20
"Always on Time","Ja Rule feat. Ashanti",20
"Are You Gonna Be My Girl","Jet",20
"Boulevard of Broken Dreams","Green Day",20
"Case of the Ex","Mýa",20
"Cold Hard Bitch","Jet",20
"Fat Lip","Sum 41",20
"Girlfriend","B2K",20
"Hey Ya!","OutKast",20
"Hot in Herre","Nelly",20
"Ignition","R. Kelly",20
"Just Because","Jane’s Addiction",20
"Lying From You","Linkin Park",20
"My Name Is","Eminem",20
"Purple Hills","D12",20
"U Remind Me","Usher",20
"Ugly","Bubba Sparxxx",20
"X","Xzibit",20
"Back at One","Brian McKnight",19
"Beautiful Stranger","Madonna",19
"Chop Suey!","System of a Down",19
"Cry Me a River","Justin Timberlake",19
"Dance Tonight","Lucy Pearl",19
"Everywhere","Michelle Branch",19
"Flap Your Wings","Nelly",19
"How Deep Is Your Love","Dru Hill feat. Redman",19
"I Turn to You","Christina Aguilera",19
"I Will Love Again","Lara Fabian",19
"It's All Been Done","Barenaked Ladies",19
"Liquid Dreams","O‐Town",19
"Loser","3 Doors Down",19
"Luv U Better","LL Cool J",19
"Made You Look","Nas",19
"Nas Is Like","Nas",19
"No More Drama","Mary J. Blige",19
"On Fire","Lloyd Banks",19
"Oops (Oh My)","Tweet",19
"Stunt 101","G‐Unit",19
"Survivor","Destiny’s Child",19
"The First Cut Is the Deepest","Sheryl Crow",19
"The Real Slim Shady","Eminem",19
"What It's Like","Everlast",19
"Wonderful","Everclear",19
"You Can Do It","Ice Cube feat. Mack 10 & Ms. Toi",19
"1985","Bowling for Soup",18
"A Woman's Worth","Alicia Keys",18
"All or Nothing","O‐Town",18
"Back Here","BBMak",18
"Break Ya Neck","Busta Rhymes",18
"Can’t Stop","Red Hot Chili Peppers",18
"Doo Wop (That Thing)","Lauryn Hill",18
"Fighter","Christina Aguilera",18
"Hole in the Head","Sugababes",18
"I Wanna Love You Forever","Jessica Simpson",18
"Let Me Blow Ya Mind","Eve feat. Gwen Stefani",18
"Meant to Live","Switchfoot",18
"Shackles (Praise You)","Mary Mary",18
"Show Me How to Live","Audioslave",18
"Slam Dunk (Da Funk)","Five",18
"So Yesterday","Hilary Duff",18
"Swear It Again","Westlife",18
"The Outsider","A Perfect Circle",18
"Where Are You Going","Dave Matthews Band",18
"Absolutely (Story of a Girl)","Nine Days",17
"After Party","Koffee Brown",17
"Bills, Bills, Bills","Destiny’s Child",17
"Bootylicious","Destiny’s Child",17
"Dream On","Depeche Mode",17
"Freek-A-Leek","Petey Pablo",17
"Get It on Tonite","Montell Jordan",17
"Got Your Money","Ol’ Dirty Bastard feat. Kelis",17
"How Come","D12",17
"I'll Be","Edwin McCain",17
"I Can","Nas",17
"I Did It","Dave Matthews Band",17
"It's My Life","Bon Jovi",17
"Jaded","Aerosmith",17
"Lately","Divine",17
"Like a Stone","Audioslave",17
"Lose Yourself","Eminem",17
"Malibu","Hole",17
"Man! I Feel Like a Woman!","Shania Twain",17
"Miami","Will Smith",17
"Pretty Fly (for a White Guy)","The Offspring",17
"Pump It Up","Joe Budden",17
"Slither","Velvet Revolver",17
"Trouble","P!nk",17
"We Like to Party","Vengaboys",17
"What Would You Do?","City High",17
"Who We Be","DMX",17
"With Arms Wide Open","Creed",17
"Area Codes","Ludacris feat. Nate Dogg",16
"Candy","Mandy Moore",16
"Clap Back","Ja Rule",16
"Cochise","Audioslave",16
"Crazy in Love","Beyoncé feat. Jay‐Z",16
"Disease","Matchbox Twenty",16
"Don't Know Why","Norah Jones",16
"Emotion","Destiny’s Child",16
"I’m a Slave 4 U","Britney Spears",16
"Inside Out","Eve 6",16
"It's Been Awhile","Staind",16
"Livin’ It Up","Ja Rule feat. Case",16
"Me, Myself and I","Beyoncé",16
"Move Ya Body","Nina Sky feat. Jabba",16
"One Thing","Finger Eleven",16
"Roses","OutKast",16
"Start the Commotion","The Wiseguys",16
"Stuck","Stacie Orrico",16
"The Dolphin's Cry","Līve",16
"The Way I Am","Eminem",16
"These Are the Times","Dru Hill",16
"This Kiss","Faith Hill",16
"U Got It Bad","Usher",16
"Unpretty","TLC",16
"Wasting My Time","Default",16
"When the Last Time","Clipse",16
"Why Don’t You Get a Job?","The Offspring",16
"99 Problems","Jay‐Z",15
"Anything but Down","Sheryl Crow",15
"Can’t Get You Out of My Head","Kylie Minogue",15
"Change Clothes","Jay‐Z",15
"Could It Be","Jaheim",15
"Dude","Beenie Man feat. Ms. Thing",15
"Hanging by a Moment","Lifehouse",15
"Hemorrhage (In My Hands)","Fuel",15
"Here to Stay","Korn",15
"I’m Still in Love With You","Sean Paul feat. Sasha",15
"Karma","Alicia Keys",15
"Last Resort","Papa Roach",15
"Meet Virginia","Train",15
"My Boo","Usher & Alicia Keys",15
"One Mic","Nas",15
"Only Time","Enya",15
"Only U","Ashanti",15
"Riddle","En Vogue",15
"Run","Collective Soul",15
"Simon Says","Pharoahe Monch",15
"Standing Still","Jewel",15
"Stuck in a Moment You Can't Get Out Of","U2",15
"Take a Message","Remy Shand",15
"This Time Around","Hanson",15
"Too Bad","Nickelback",15
"U Know What’s Up","Donell Jones",15
"Weak and Powerless","A Perfect Circle",15
"Whenever, Wherever","Shakira",15
"100 Years","Five for Fighting",14
"All Good?","De La Soul feat. Chaka Khan",14
"Bent","Matchbox Twenty",14
"Bother","Stone Sour",14
"Bounce","Sarah Connor",14
"Breathe","Fabolous",14
"Caught Up","Usher",14
"Ch-Check It Out","Beastie Boys",14
"Change Your Mind","Sister Hazel",14
"Dare You to Move","Switchfoot",14
"Dilemma","Nelly feat. Kelly Rowland",14
"Girls, Girls, Girls","Jay‐Z",14
"Goodbye","Spice Girls",14
"Hotel","Cassidy feat. R. Kelly",14
"I Drove All Night","Céline Dion",14
"I Wanna Be With You","Mandy Moore",14
"Jumper","Third Eye Blind",14
"Just Like a Pill","P!nk",14
"Let's Get Married","Jagged Edge",14
"Love Don’t Cost a Thing","Jennifer Lopez",14
"Mesmerize","Ja Rule feat. Ashanti",14
"Most Girls","P!nk",14
"Pass That Dutch","Missy Elliott",14
"Pieces of Me","Ashlee Simpson",14
"Since U Been Gone","Kelly Clarkson",14
"Sour Girl","Stone Temple Pilots",14
"Sweet Lady","Tyrese",14
"Thank You","Dido",14
"That Don't Impress Me Much","Shania Twain",14
"The Way You Move","OutKast feat. Sleepy Brown",14
"Thoia Thoing","R. Kelly",14
"Used to Love U","John Legend",14
"Wanksta","50 Cent",14
"Wish I Didn't Miss You","Angie Stone",14
"You Don't Know My Name","Alicia Keys",14
"Angels Would Fall","Melissa Etheridge",13
"Breathe and Stop","Q‐Tip",13
"Brotha","Angie Stone",13
"Celebrity Skin","Hole",13
"Everything Is Everything","Lauryn Hill",13
"Fade","Staind",13
"God Bless the USA","Lee Greenwood",13
"Happy","Ashanti",13
"Headsprung","LL Cool J",13
"Headstrong","Trapt",13
"Hero","Chad Kroeger feat. Josey Scott",13
"Home Alone","R. Kelly feat. Keith Murray",13
"I Love You","Bill Evans",13
"I Love You","Martina McBride",13
"If I Ain’t Got You","Alicia Keys",13
"If You’re Not the One","Daniel Bedingfield",13
"Lose My Breath","Destiny’s Child",13
"Love’s Divine","Seal",13
"More Than a Woman","Aaliyah",13
"Never Let You Go","Third Eye Blind",13
"No Matter What They Say","Lil’ Kim",13
"Nothing Really Matters","Madonna",13
"Objection (Tango)","Shakira",13
"Promise","Jagged Edge",13
"Rock Wit U (Awww Baby)","Ashanti",13
"Rubberneckin'","Elvis Presley",13
"She Bangs","Ricky Martin",13
"Tell Me It's Real","K‐Ci & JoJo",13
"Tempted to Touch","Rupee",13
"The Boys of Summer","The Ataris",13
"You Make Me Sick","P!nk",13
"You Raise Me Up","Josh Groban",13
"(Reach Up for the) Sunrise","Duran Duran",12
"American Woman","Lenny Kravitz",12
"At the Stars","Better Than Ezra",12
"Be Like That","3 Doors Down",12
"Beautiful","Christina Aguilera",12
"Boom, Boom, Boom, Boom!!","Vengaboys",12
"Crazy","K‐Ci & JoJo",12
"Don’t Dream It’s Over","Sixpence None the Richer",12
"Down So Long","Jewel",12
"Everything","Alanis Morissette",12
"Fallin'","Alicia Keys",12
"Grindin'","Clipse",12
"Hard Knock Life","Jay‐Z",12
"Heavy","Collective Soul",12
"Hey Leonardo (She Likes Me for Me)","Blessid Union of Souls",12
"How You Gonna Act Like That","Tyrese",12
"I Don't Want to Miss a Thing","Aerosmith",12
"I Knew I Loved You","Savage Garden",12
"If I Ain't Got You","Alicia Keys",12
"If You're Not the One","Daniel Bedingfield",12
"Intuition","Jewel",12
"Iris","Goo Goo Dolls",12
"Just the Two of Us","Will Smith",12
"Mad Season","Matchbox Twenty",12
"Miss You","Aaliyah",12
"My Band","D12",12
"Perfect","Simple Plan",12
"Pull Up","Mr. Vegas",12
"Redneck Woman","Gretchen Wilson",12
"Ride Wit Me","Nelly feat. City Spud",12
"Rock the Party","Benzino",12
"Rosa Parks","OutKast",12
"Rubberneckin’","Elvis Presley",12
"Stand Up","Ludacris feat. Shawnna",12
"Still D.R.E.","Dr. Dre feat. Snoop Dogg",12
"Superman","Five for Fighting",12
"Sweetest Thing","U2",12
"Tell Me It’s Real","K‐Ci & JoJo",12
"The Remedy (I Won't Worry)","Jason Mraz",12
"The Way You Love Me","Faith Hill",12
"The Zephyr Song","Red Hot Chili Peppers",12
"Turn Off the Light","Nelly Furtado",12
"Uh Huh","B2K",12
"Welcome to My Life","Simple Plan",12
"What’s Luv?","Fat Joe feat. Ashanti",12
"Where My Girls At","702",12
"Wide Open Spaces","Dixie Chicks",12
"You Rock My World","Michael Jackson",12
"808","Blaque",11
"Amazing","Josh Kelley",11
"Austin","Blake Shelton",11
"Baby One More Time","Britney Spears",11
"Bad Day","Fuel",11
"Beautiful Soul","Jesse McCartney",11
"Between Me and You","Ja Rule feat. Christina Milian",11
"Country Grammar","Nelly",11
"Don't Say You Love Me","M2M",11
"Excuse Me Miss","Jay‐Z",11
"Fall to Pieces","Velvet Revolver",11
"Fallin’","Alicia Keys",11
"Go DJ","Lil Wayne",11
"Got It Twisted","Mobb Deep",11
"Have You Ever","Brandy",11
"Hero","Enrique Iglesias",11
"Hey Mama","The Black Eyed Peas",11
"I Don't Want to Be","Gavin DeGraw",11
"Just Like You","Three Days Grace",11
"King of the Dancehall","Beenie Man",11
"L.A. Song","Beth Hart",11
"Larger Than Life","Backstreet Boys",11
"Let Me Love You","Mario",11
"Love Me Right (Oh Sheila)","Angel City feat. Lara McAllen",11
"No More Rain","Angie Stone",11
"Ordinary Day","Vanessa Carlton",11
"Out of My Head","Fastball",11
"Overprotected","Britney Spears",11
"Running Away","Hoobastank",11
"Sleepwalker","The Wallflowers",11
"Slide","Goo Goo Dolls",11
"Stole","Kelly Rowland",11
"That Don’t Impress Me Much","Shania Twain",11
"The First Night","Monica",11
"The World's Greatest","R. Kelly",11
"There You’ll Be","Faith Hill",11
"Up!","Shania Twain",11
"Walked Outta Heaven","Jagged Edge",11
"White Flag","Dido",11
"Whoa!","Black Rob",11
"X Gon’ Give It to Ya","DMX",11
"You Don’t Know My Name","Alicia Keys",11
"…Baby One More Time","Britney Spears",10
"Anything","Jay‐Z",10
"Around the World","ATC",10
"Balla Baby","Chingy",10
"Bug a Boo","Destiny’s Child",10
"Cold","Crossfade",10
"Dance With Me","112",10
"Die Another Day","Madonna",10
"Differences","Ginuwine",10
"Disco Inferno","50 Cent",10
"Don’t Mess With the Radio","Nivea",10
"Falls on Me","Fuel",10
"Father of Mine","Everclear",10
"Fire Escape","Fastball",10
"Full Moon","Brandy",10
"Get Low","Lil Jon & The East Side Boyz feat. Ying Yang Twins",10
"Girls Lie Too","Terri Clark",10
"Give It to You","Jordan Knight",10
"God Bless the U.S.A.","Lee Greenwood",10
"Goodies","Ciara feat. Petey Pablo",10
"Got Some Teeth","Obie Trice",10
"How Come You Don't Call Me","Alicia Keys",10
"I Am the Highway","Audioslave",10
"I Like Them Girls","Tyrese",10
"I Want It That Way","Backstreet Boys",10
"Imagine That","LL Cool J",10
"Incomplete","Sisqó",10
"Last Train Home","Lostprophets",10
"Let Me In","Young Buck",10
"Long Black Train","Josh Turner",10
"Mirror Mirror","M2M",10
"Miss California","Dante Thomas feat. Pras",10
"My Friends Over You","New Found Glory",10
"My Way","Limp Bizkit",10
"Nobody’s Supposed to Be Here","Deborah Cox",10
"One","Creed",10
"One Minute Man","Missy Elliott",10
"Papa Don’t Preach","Kelly Osbourne",10
"Paradise","LL Cool J feat. Amerie",10
"Pop Ya Collar","Usher",10
"Raise Up","Petey Pablo",10
"Re-Arranged","Limp Bizkit",10
"Rock the Boat","Aaliyah",10
"Ruff Ryders Anthem","DMX",10
"Save a Horse (Ride a Cowboy)","Big & Rich",10
"She Loves Me Not","Papa Roach",10
"So Cold","Breaking Benjamin",10
"Soul Sista","Bilal",10
"Stacy's Mom","Fountains of Wayne",10
"The Christmas Song","Christina Aguilera",10
"The Greatest Romance Ever Sold","Prince",10
"The Remedy","Jason Mraz",10
"The World’s Greatest","R. Kelly",10
"U Know What's Up","Donell Jones",10
"What You Waiting For?","Gwen Stefani",10
"Wish I Didn’t Miss You","Angie Stone",10
"You Owe Me","Nas feat. Ginuwine",10
"A New Day Has Come","Céline Dion",9
"Again","Lenny Kravitz",9
"All You Wanted","Michelle Branch",9
"American Life","Madonna",9
"Angel of Mine","Monica",9
"Away From the Sun","3 Doors Down",9
"Baby I Love U!","Jennifer Lopez",9
"Behind Blue Eyes","Limp Bizkit",9
"Bow Wow (That's My Name)","Bow Wow",9
"C’est la vie","B*Witched",9
"Call Me","Tweet",9
"Can't Get You Out of My Head","Kylie Minogue",9
"Control","Puddle of Mudd",9
"Did You Ever Think","R. Kelly",9
"Don't Mess With the Radio","Nivea",9
"Don’t Know Why","Norah Jones",9
"Emotional Rollercoaster","Vivian Green",9
"Ex-Factor","Lauryn Hill",9
"F**k It (I Don't Want You Back)","Eamon",9
"Family Portrait","P!nk",9
"Forever and for Always","Shania Twain",9
"Game Over","Lil’ Flip",9
"Gasolina","Daddy Yankee",9
"Get Back","Ludacris",9
"Gossip Folks","Missy Elliott feat. Ludacris",9
"Grindin’","Clipse",9
"Have You Ever?","Brandy",9
"Heaven","Līve",9
"Hole in the World","Eagles",9
"Hot Spot","Foxy Brown",9
"How We Do","The Game feat. 50 Cent",9
"I Can Only Imagine","MercyMe",9
"I Don’t Want to Be","Gavin DeGraw",9
"I Learned From the Best","Whitney Houston",9
"I Need to Know","Marc Anthony",9
"I Wish","Carl Thomas",9
"If You're Gone","Matchbox Twenty",9
"It’s Not Right but It’s Okay","Whitney Houston",9
"Just Another Day in Paradise","Phil Vassar",9
"Lady","Lenny Kravitz",9
"Let’s Get Married","Jagged Edge",9
"Look at Us","Sarina Paris",9
"Music","Erick Sermon feat. Marvin Gaye",9
"My Sacrifice","Creed",9
"Never Been Kissed","Sherrié Austin",9
"Never Leave You - Uh Ooh, Uh Oooh!","Lumidee",9
"Never There","CAKE",9
"Oh Boy","Cam’ron feat. Juelz Santana",9
"Only God Knows Why","Kid Rock",9
"Peacekeeper","Fleetwood Mac",9
"Sexual","Amber",9
"Smooth Criminal","Alien Ant Farm",9
"Stuck in a Moment You Can’t Get Out Of","U2",9
"Unsent","Alanis Morissette",9
"Welcome Back","Mase",9
"Whatever U Want","Christina Milian feat. Joe Budden",9
"Where I Come From","Alan Jackson",9
"Where the Party At","Jagged Edge feat. Nelly",9
"Who's That Girl","Eve",9
"Why","Jadakiss feat. Anthony Hamilton",9
"Addicted","Simple Plan",8
"Addictive","Truth Hurts feat. Rakim",8
"All Good","De La Soul feat. Chaka Khan",8
"Baby Boy","Beyoncé feat. Sean Paul",8
"Better Days (And the Bottom Drops Out)","Citizen King",8
"Bizounce","Olivia",8
"Black Balloon","Goo Goo Dolls",8
"Bless the Broken Road","Rascal Flatts",8
"Blue Monday","Orgy",8
"Bow Wow (That’s My Name)","Bow Wow",8
"Breathe","Blu Cantrell feat. Sean Paul",8
"Bump, Bump, Bump","B2K feat. P. Diddy",8
"Calling All Angels","Train",8
"Can’t Nobody","Kelly Rowland",8
"Can’t Stop Loving You","Phil Collins",8
"Changes","2Pac",8
"Come Clean","Hilary Duff",8
"Cowboy","Kid Rock",8
"Cowboy Take Me Away","Dixie Chicks",8
"Dance With Me","Debelah Morgan",8
"Danger (Been So Long)","Mystikal feat. Nivea",8
"Dig In","Lenny Kravitz",8
"Dirrty","Christina Aguilera feat. Redman",8
"Dirt Off Your Shoulder","Jay‐Z",8
"Don’t Let Me Get Me","P!nk",8
"Don’t Think I’m Not","Kandi",8
"Electrical Storm","U2",8
"Escape","Enrique Iglesias",8
"Everyone Falls in Love","Tanto Metro & Devonte",8
"Fallen","Mýa",8
"Flavor of the Weak","American Hi‐Fi",8
"Getting Away With Murder","Papa Roach",8
"Hate Me Now","Nas feat. Puff Daddy",8
"Here Is Gone","Goo Goo Dolls",8
"Hush","LL Cool J feat. 7 Aurelius",8
"I Don’t Want to Miss a Thing","Aerosmith",8
"If I Am","Nine Days",8
"In Those Jeans","Ginuwine",8
"It’s My Life","Bon Jovi",8
"Jumpin' Jumpin'","Destiny’s Child",8
"Just Lose It","Eminem",8
"Leave (Get Out)","JoJo",8
"Livin’ la vida loca","Ricky Martin",8
"Loaded","Ricky Martin",8
"Love of My Life","Brian McKnight",8
"Mamacita","Public Announcement",8
"Me Neither","Brad Paisley",8
"Miami (Miami mix)","Will Smith",8
"Miss Independent","Kelly Clarkson",8
"Missing You","Case",8
"My Projects","Coo Coo Cal",8
"No More (Baby I'ma Do Right)","3LW",8
"Original Prankster","The Offspring",8
"Paint Me a Birmingham","Tracy Lawrence",8
"Peaches & Cream","112",8
"Play","Jennifer Lopez",8
"Prayer","Disturbed",8
"Rest in Pieces","Saliva",8
"Send the Pain Below","Chevelle",8
"Senorita","Justin Timberlake",8
"Sing for the Moment","Eminem",8
"So Anxious","Ginuwine",8
"So Gone","Monica",8
"Spin","Lifehouse",8
"Step in the Name of Love (remix)","R. Kelly",8
"Steve McQueen","Sheryl Crow",8
"Still on Your Side","BBMak",8
"Straight Out of Line","Godsmack",8
"Suds in the Bucket","Sara Evans",8
"Superman (It's Not Easy)","Five for Fighting",8
"Swing, Swing","The All‐American Rejects",8
"Take You Out","Luther Vandross",8
"The Christmas Song (Chestnuts Roasting on an Open Fire)","Christina Aguilera",8
"The Dolphin’s Cry","Līve",8
"True","Ryan Cabrera",8
"We Like to Party!","Vengaboys",8
"What If a Woman","Joe",8
"What Would You Do","City High",8
"When I’m Gone","3 Doors Down",8
"Where I Wanna Be","Shade Sheist feat. Nate Dogg & Kurupt",8
"Where the Hood At","DMX",8
"With You","Lila McCann",8
"Wrong Again","Martina McBride",8
"You’ll Be in My Heart","Phil Collins",8
"(There’s Gotta Be) More to Life","Stacie Orrico",7
"A Little Less Conversation","Elvis vs. JXL",7
"A Woman’s Worth","Alicia Keys",7
"All I Have","Jennifer Lopez feat. LL Cool J",7
"American Child","Phil Vassar",7
"American Pie","Madonna",7
"Are You Happy Now?","Michelle Branch",7
"Are You That Somebody","Aaliyah",7
"Bad Boy for Life","P. Diddy, Black Rob & Mark Curry",7
"Beauty","Dru Hill",7
"Born to Fly","Sara Evans",7
"Breathe","Faith Hill",7
"Breathe","Michelle Branch",7
"Can't Stop","Red Hot Chili Peppers",7
"Chicks Dig It","Chris Cagle",7
"Crazy for This Girl","Evan and Jaron",7
"Cross the Border","Philly’s Most Wanted",7
"Did My Time","Korn",7
"Don't You Forget It","Glenn Lewis",7
"Find a Way","Dwele",7
"For You","Staind",7
"Get It On Tonite","Montell Jordan",7
"Give It to Her","Tanto Metro & Devonte",7
"Give Me You","Mary J. Blige",7
"Goodbye Earl","Dixie Chicks",7
"Hard Knock Life","JAY‐Z",7
"Heaven","DJ Sammy & Yanou feat. Do",7
"Here for the Party","Gretchen Wilson",7
"Hey Ma","Cam’ron feat. Juelz Santana, Freekey Zekey & Toya",7
"Hit ’em Up Style (Oops!)","Blu Cantrell",7
"Hit That","The Offspring",7
"Holla Holla","Ja Rule",7
"I'd Rather","Luther Vandross",7
"I'm a Slave 4 U","Britney Spears",7
"I Love This Bar","Toby Keith",7
"I Need You Now","Smokie Norful",7
"I Want You","Janet Jackson",7
"I’ll Be","Edwin McCain",7
